study_identifier,participant.id_in_session,participant.code,participant.label,participant._current_page_name,participant.not_matched,session.code,consent.1.player.id_in_group,consent.1.player.prolific_id,consent.1.group.id_in_subsession,flip_task.1.player.num_heads,flip_task.1.player.total_guess_group_heads,flip_task.2.player.id_in_group,flip_task.2.player.payoff,flip_task.2.player.flip_time_seconds,flip_task.2.player.num_heads,flip_task.2.player.average_group_heads_reported,flip_task.2.player.treat,flip_task.2.player.treat_string,flip_task.2.player.not_matched,flip_task.2.group.id_in_subsession,flip_task.2.group.group_payoff,survey.1.player.bonus_cents,survey.1.player.most_common_head,survey.1.player.flip_misreporting,survey.1.player.flip_shirking,survey.1.player.household_satisfy,survey.1.player.attention_fatal,survey.1.player.bfi_is_reserved,survey.1.player.bfi_is_trust,survey.1.player.bfi_does_job,survey.1.player.bfi_is_relaxed,survey.1.player.bfi_active_imag,survey.1.player.bfi_is_social,survey.1.player.bfi_fault,survey.1.player.bfi_lazy,survey.1.player.bfi_nervous,survey.1.player.bfi_artistic,survey2.1.player.lie_misrepresent,survey2.1.player.lie_shirking,survey2.1.player.lie_significant_other,survey2.1.player.lie_dating,survey2.1.player.lie_taxes,survey2.1.player.misreport_time_seconds,survey2.1.player.misreport,survey2.1.player.misreport_justify,survey2.1.player.misreport_paste_status,Participant id,Status,Started at,Completed at,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,avg_group_heads,flip_payoff,bonus_cent,final_bonus_dollars,survey2.1.player.misreport_justify_time_seconds,debrief.1.player.debrief_time_seconds,Unnamed: 0,bulk_approve
24_0802_Pilot1_control,1,m3h1e65b,5e765060efdcf71bffa5683f,Debrief,,7wvq9n98,1,5e765060efdcf71bffa5683f,1,10000,,1,,76,4,,0,Control,0,,,0,6,80,35,7,0,2,2,3,2,2,4,4,1,4,3,0,0,10,0,0,10,0,"There are cases where lying might be the best choice to avoid making people (like friends and relatives) too sad, but only if it does not lead to bad situations for me or them. Lying for a good cause is something that happens, and one must be prepared for it, like for family members or friends who can't handle bad news. These are innocent lies that are necessary sometimes and I'm ready to do that.",,5e765060efdcf71bffa5683f,APPROVED,2024-08-02T18:08:26.125000Z,2024-08-02T18:31:07.879000Z,1076,26,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time,,40,0,0.4,,,,
24_0802_Pilot1_control,2,x0dtkbrn,5c5fbade4cc94200016a5c15,Debrief,,7wvq9n98,2,5c5fbade4cc94200016a5c15,1,10000,,2,,37,4,,0,Control,0,,,10,5,5,5,2,0,1,1,1,4,1,4,4,4,1,3,0,0,0,0,0,6,0,0,,5c5fbade4cc94200016a5c15,APPROVED,2024-08-02T18:08:27.795000Z,2024-08-02T18:23:32.289000Z,94,36,Female,White,Moldova,Canada,Canada,Romanian,No,Full-Time,,40,10,0.5,,,,
24_0802_Pilot1_control,3,zg9ann6r,5c0ef103857373000152f759,Debrief,,7wvq9n98,3,5c0ef103857373000152f759,1,10000,,3,,73,3,,0,Control,0,,,10,5,10,5,2,0,2,3,2,4,1,3,2,1,2,4,0,0,10,11,0,23,0,"I think it could possibly be justified if someone saw through the point of the task, where misreporting could be allowed. For me though, I just did what I was told and didnt want to lead to any inaccurate results or anything like that.",,5c0ef103857373000152f759,APPROVED,2024-08-02T18:08:32.558000Z,2024-08-02T18:20:45.501000Z,928,30,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking),,30,10,0.4,,,,
24_0802_Pilot1_control,5,kaoognl6,669a63e4c01c325e44e55caf,Debrief,,7wvq9n98,5,669a63e4c01c325e44e55caf,1,10000,,4,,125,5,,0,Control,0,,,10,5,50,50,3,0,1,3,1,4,2,5,4,5,5,4,0,0,0,30,0,31,0,when your are protecting your identity for when you might be reporting criminal activities like fraud,,669a63e4c01c325e44e55caf,APPROVED,2024-08-02T18:08:35.294000Z,2024-08-02T18:29:44.148000Z,5,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,,50,10,0.6,,,,
24_0802_Pilot1_control,7,zm9h0wm9,66a7c2730b71bb86b05565b9,Debrief,,7wvq9n98,7,66a7c2730b71bb86b05565b9li,1,10000,,5,,14,10,,0,Control,0,,,0,10,100,100,10,0,1,1,1,2,2,1,2,4,4,3,100,100,100,100,86,23,1,when something not done in a good way or in respect of other people,,66a7c2730b71bb86b05565b9,APPROVED,2024-08-02T18:08:40.379000Z,2024-08-02T18:30:36.910000Z,0,38,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,,100,0,1,,,,
24_0802_Pilot1_control,8,5v57cs1o,6676b1d48695164779f3522c,Debrief,,7wvq9n98,8,6676b1d48695164779f3522c,1,10000,,6,,34,4,,0,Control,0,,,10,5,10,1,4,0,2,2,1,1,1,2,4,4,4,1,0,0,0,10,0,23,0,Under no circumstances should misreporting be justified.,,6676b1d48695164779f3522c,APPROVED,2024-08-02T18:12:45.227000Z,2024-08-02T18:24:22.931000Z,20,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,,40,10,0.5,,,,
24_0828_Control_1_20,1,iap9jwiv,66cf20fddbb839227888305e,Debrief,,x851ti1z,1,66cf20fddbb839227888305e,1,10000,,1,40,76,4,,0,Control,0,1,,0,7,75,65,4,0,2,3,5,2,2,5,3,4,3,4,10,10,25,25,0,11,0,Misreporting could be justifiable in instances where the revealing information may be sensitive or damaging to a person or people. Obfuscating information could be considered acceptable in instances where it would protect the individual or their property.,,66cf20fddbb839227888305e,APPROVED,2024-08-28T15:01:29.752000Z,2024-08-28T15:18:23.357000Z,2,33,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,,,,0.4,,,,
24_0828_Control_1_20,2,fwyn6soh,652017a42d6c0af7d9d75be4,Debrief,,x851ti1z,2,652017a42d6c0af7d9d75be4,1,10000,,2,20,51,2,,0,Control,0,1,,0,7,20,15,2,0,1,2,6,3,2,4,4,1,2,2,0,0,5,0,0,7,0,"I don't believe there are any circumstances where misreporting would be justified. It taints the validity of studies like this-- granted, the scope of the study may be about that misrepresentation, but we as participants have no idea what the study is about as we're taking it. A swing of less than a dollar in payout is not a reason to lie to researchers about the results they get regardless of one's circumstances.",,652017a42d6c0af7d9d75be4,APPROVED,2024-08-28T15:16:12.975000Z,2024-08-28T15:27:24.256000Z,152,28,Male,White,United States,United States,United States,English,No,Part-Time,,,,0.2,,,,
24_0828_Control_1_20,4,9gwwvo8z,64db7a4850be99df7d90917f,Debrief,,x851ti1z,4,64db7a4850be99df7d90917f,1,10000,,4,30,7,3,,0,Control,0,1,,0,4,70,10,3,0,2,2,1,4,1,2,2,4,4,2,14,9,25,17,6,6,0,"I suppose there are a number of reasons to misreport. If Prolific is someone's main source of income, every little bit helps, and I can see someone misreporting to game the system and get the bonus. Probably more people are doing surveys during down time at work and just got distracted or lost count.",,64db7a4850be99df7d90917f,APPROVED,2024-08-28T15:24:37.566000Z,2024-08-28T15:32:38.559000Z,433,46,Female,Black,United States,United States,United States,English,No,Full-Time,,,,0.3,,,,
24_0828_Control_1_20,6,js75ue84,655f90790f6b3ee137817b64,Debrief,,x851ti1z,6,655f90790f6b3ee137817b64,1,10000,,6,70,3,7,,0,Control,0,1,,0,6,79,79,8,0,2,1,1,1,1,1,3,5,5,5,80,85,90,68,70,26,0,I think misreporting could never be a time where that is justified. To me that is disgraceful and shows no integrity whatsoever so that would honestly never be acceptable in my opinion. I feel that the world would be a better place without disgraceful behavior ,,655f90790f6b3ee137817b64,APPROVED,2024-08-28T15:27:43.879000Z,2024-08-28T15:38:40.891000Z,895,40,Female,Black,United States,United States,United States,English,No,Full-Time,,,,0.7,,,,
24_0828_Control_1_20,8,7qlmxry9,6643c77e0c522dd6c4be1bd1,Debrief,,x851ti1z,8,6643c77e0c522dd6c4be1bd1,1,10000,,8,60,43,6,,0,Control,0,1,,10,5,60,80,3,0,4,5,3,5,1,4,2,2,2,2,10,48,80,5,0,3,0,"Misreporting can be justified if it leads to greater change/good. So, if you misrepresent a community’s need for a building or certain resource, that action is arguably bad. But if this does genuinely help the community and do good then it could be argued it was a lesser evil. That’s the only thing I can think of but there may be others. ",,6643c77e0c522dd6c4be1bd1,APPROVED,2024-08-28T15:29:23.697000Z,2024-08-28T15:38:13.978000Z,323,35,Male,White,United States,United States,United States,English,No,Full-Time,,,,0.7,,,,
24_0828_Control_1_20,9,289cbl0e,66afc041d2d192b4c4f3b6bb,Debrief,,x851ti1z,9,66afc041d2d192b4c4f3b6bb,1,10000,,9,60,49,6,,0,Control,0,1,,10,5,77,26,2,0,4,2,1,4,2,3,4,4,2,2,10,6,39,0,24,6,0,"I don’t think there are any circumstances where misrepresenting the coin toss results would be justified. It’s not something that will significantly impact your life in any way, so what would be the point in lying? If we are talking about misreporting something that has actual consequences, I still believe that the only acceptable circumstance would be if it was unintentional.",,66afc041d2d192b4c4f3b6bb,APPROVED,2024-08-28T15:30:27.781000Z,2024-08-28T15:44:57.096000Z,61,42,Female,White,United States,United States,United States,English,Yes,Part-Time,,,,0.7,,,,
24_0828_Control_1_20,10,2hagjoht,668e9dc336d88c22d32f77a4,Debrief,,x851ti1z,10,668e9dc336d88c22d32f77a4,1,10000,,10,60,18,6,,0,Control,0,1,,10,5,55,12,6,0,2,1,1,4,3,5,2,5,1,2,0,0,0,0,0,12,0,I do not foresee any reason for someone to lie about flipping a coin. What in the actual heck would make someone do that? It is literally a chance thing and literally worth .10 cents per head landing. i think if someone lied about that they cant be justified in doing so,,668e9dc336d88c22d32f77a4,APPROVED,2024-08-28T15:30:35.264000Z,2024-08-28T15:42:18.554000Z,290,53,Female,White,United States,United States,United States,Other,No,DATA_EXPIRED,,,,0.7,,,,
